,Profit Ratio,ONE,Category,City,Country,Customer Name,Discount,Number of Records,Order Date,Order ID,Postal Code,Manufacturer,Product Name,Profit,Quantity,Region,Sales,Segment,Ship Date,Ship Mode,State,Sub-Category
2160,36%,1,Office Supplies,Parma,United States,Anna Chung,20%,1,10/15/2015,US-2015-122021,44134.0,Xerox,Xerox 1897,3,2,East,8,Consumer,10/17/2015,First Class,Ohio,Paper
2161,35%,1,Office Supplies,Philadelphia,United States,Anthony Witt,20%,1,12/10/2018,CA-2018-143798,19140.0,Xerox,Xerox 210,4,2,East,10,Consumer,12/12/2018,First Class,Pennsylvania,Paper
2162,31%,1,Office Supplies,Philadelphia,United States,Cindy Chapman,20%,1,11/21/2018,CA-2018-100811,19143.0,Xerox,Xerox 1972,3,2,East,8,Consumer,11/24/2018,First Class,Pennsylvania,Paper
2163,-25%,1,Office Supplies,Akron,United States,John Murray,20%,1,5/16/2018,CA-2018-166576,44312.0,SAFCO,"SAFCO Commercial Wire Shelving, Black",-55,2,East,221,Consumer,5/18/2018,First Class,Ohio,Storage
2164,8%,1,Office Supplies,Cleveland,United States,Joe Elijah,20%,1,8/25/2018,US-2018-105697,44105.0,Other,"Letter/Legal File Tote with Clear Snap-On Lid, Black Granite",2,2,East,26,Consumer,8/27/2018,First Class,Ohio,Storage
2165,8%,1,Office Supplies,Bethlehem,United States,Olvera Toch,20%,1,7/28/2017,CA-2017-107783,18018.0,Hoover,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",1,3,East,9,Consumer,7/29/2017,First Class,Pennsylvania,Appliances
2166,10%,1,Office Supplies,Philadelphia,United States,Jay Kimmel,20%,1,12/19/2016,CA-2016-127453,19143.0,Avanti,Avanti 4.4 Cu. Ft. Refrigerator,43,3,East,434,Consumer,12/20/2016,First Class,Pennsylvania,Appliances
2167,38%,1,Office Supplies,New York City,United States,Lena Creighton,20%,1,6/16/2016,US-2016-163825,10009.0,Fellowes,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,"1,144",3,East,"3,050",Consumer,6/19/2016,First Class,New York,Binders
2168,36%,1,Office Supplies,Philadelphia,United States,Arthur Gainer,20%,1,12/19/2016,CA-2016-115399,19134.0,Avery,Avery 474,3,3,East,7,Consumer,12/22/2016,First Class,Pennsylvania,Labels
2169,33%,1,Office Supplies,Cincinnati,United States,Allen Goldenen,20%,1,11/20/2017,CA-2017-109820,45231.0,Southworth,Southworth 25% Cotton Granite Paper & Envelopes,5,3,East,16,Consumer,11/22/2017,First Class,Ohio,Paper
2170,35%,1,Office Supplies,Philadelphia,United States,Rob Lucas,20%,1,7/7/2018,US-2018-169551,19120.0,Xerox,Xerox 216,5,3,East,16,Consumer,7/9/2018,First Class,Pennsylvania,Paper
2171,6%,1,Office Supplies,Philadelphia,United States,Ralph Arnett,20%,1,12/1/2018,CA-2018-127313,19120.0,Other,Personal File Boxes with Fold-Down Carry Handle,2,3,East,37,Consumer,12/4/2018,First Class,Pennsylvania,Storage
2172,8%,1,Office Supplies,Philadelphia,United States,Rob Lucas,20%,1,7/7/2018,US-2018-169551,19120.0,Other,Plastic Stacking Crates & Casters,1,3,East,13,Consumer,7/9/2018,First Class,Pennsylvania,Storage
2173,4%,1,Office Supplies,Philadelphia,United States,Ed Jacobs,20%,1,8/13/2016,CA-2016-169656,19143.0,Fellowes,Fellowes High-Stak Drawer Files,16,3,East,423,Consumer,8/16/2016,First Class,Pennsylvania,Storage
2174,11%,1,Office Supplies,Fairfield,United States,Tracy Blumstein,20%,1,10/21/2015,CA-2015-142587,45014.0,Fellowes,Fellowes Superior 10 Outlet Split Surge Protector,14,4,East,122,Consumer,10/22/2015,First Class,Ohio,Appliances
2175,9%,1,Office Supplies,Philadelphia,United States,Jay Kimmel,20%,1,12/19/2016,CA-2016-127453,19143.0,Fellowes,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,8,4,East,89,Consumer,12/20/2016,First Class,Pennsylvania,Appliances
2176,18%,1,Office Supplies,Columbus,United States,Joy Smith,20%,1,2/27/2015,CA-2015-156545,43229.0,Zebra,Zebra Zazzle Fluorescent Highlighters,3,4,East,19,Consumer,3/3/2015,First Class,Ohio,Art
2177,28%,1,Office Supplies,Philadelphia,United States,Max Jones,20%,1,12/8/2018,US-2018-131961,19140.0,BIC,BIC Brite Liner Highlighters,4,4,East,13,Consumer,12/11/2018,First Class,Pennsylvania,Art
2178,35%,1,Office Supplies,New York City,United States,Nat Carroll,20%,1,11/24/2017,CA-2017-124485,10035.0,Acco,"Acco PRESSTEX Data Binder with Storage Hooks, Light Blue, 9 1/2"" X 11""",6,4,East,17,Consumer,11/26/2017,First Class,New York,Binders
2179,-23%,1,Office Supplies,Lancaster,United States,Duane Benoit,20%,1,12/31/2017,US-2017-105830,43130.0,Tennsco,Tennsco Industrial Shelving,-35,4,East,157,Consumer,1/2/2018,First Class,Ohio,Storage
2180,10%,1,Office Supplies,Philadelphia,United States,Cindy Chapman,20%,1,11/21/2018,CA-2018-100811,19143.0,Other,Recycled Eldon Regeneration Jumbo File,4,4,East,39,Consumer,11/24/2018,First Class,Pennsylvania,Storage
2181,8%,1,Office Supplies,Lakewood,United States,Christy Brittain,20%,1,11/5/2016,US-2016-136259,44107.0,Acme,Acme Titanium Bonded Scissors,2,4,East,27,Consumer,11/8/2016,First Class,Ohio,Supplies
2182,8%,1,Office Supplies,Philadelphia,United States,Clytie Kelty,20%,1,7/11/2016,CA-2016-142237,19134.0,Newell,Newell 333,1,5,East,11,Consumer,7/13/2016,First Class,Pennsylvania,Art
2183,36%,1,Office Supplies,New York City,United States,Resi Pölking,20%,1,8/19/2017,CA-2017-101980,10009.0,Cardinal,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",9,5,East,25,Consumer,8/20/2017,First Class,New York,Binders
2184,34%,1,Office Supplies,New York City,United States,Alan Hwang,20%,1,12/7/2016,CA-2016-165050,10024.0,Pressboard,Pressboard Data Binders by Wilson Jones,7,5,East,21,Consumer,12/9/2016,First Class,New York,Binders
2185,33%,1,Office Supplies,Fairfield,United States,Ted Butterfield,20%,1,8/3/2018,CA-2018-163566,45014.0,Avery,Avery 476,5,5,East,17,Consumer,8/6/2018,First Class,Ohio,Labels
2186,11%,1,Office Supplies,Lancaster,United States,Max Jones,20%,1,4/23/2017,CA-2017-124149,43130.0,Eldon,Eldon Fold 'N Roll Cart System,6,5,East,56,Consumer,4/26/2017,First Class,Ohio,Storage
2187,-23%,1,Office Supplies,Newark,United States,Susan MacKendrick,20%,1,5/3/2017,CA-2017-129280,43055.0,Tennsco,Tennsco Industrial Shelving,-44,5,East,196,Consumer,5/5/2017,First Class,Ohio,Storage
2188,11%,1,Office Supplies,Philadelphia,United States,Frank Olsen,20%,1,9/22/2016,US-2016-115343,19143.0,Acme,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",6,5,East,56,Consumer,9/25/2016,First Class,Pennsylvania,Supplies
2189,38%,1,Office Supplies,New York City,United States,Resi Pölking,20%,1,8/19/2017,CA-2017-101980,10009.0,Other,Surelock Post Binders,55,6,East,147,Consumer,8/20/2017,First Class,New York,Binders
2190,34%,1,Office Supplies,Toledo,United States,Joy Daniels,20%,1,9/9/2018,CA-2018-152198,43615.0,Avery,Avery 501,6,6,East,18,Consumer,9/10/2018,First Class,Ohio,Labels
2191,33%,1,Office Supplies,Philadelphia,United States,Ted Trevino,20%,1,4/5/2016,CA-2016-119942,19120.0,Avery,Avery 499,8,6,East,24,Consumer,4/7/2016,First Class,Pennsylvania,Labels
2192,36%,1,Office Supplies,Dublin,United States,Fred Harton,20%,1,6/1/2018,CA-2018-106831,43017.0,Xerox,Xerox 1924,10,6,East,28,Consumer,6/3/2018,First Class,Ohio,Paper
2193,35%,1,Office Supplies,Lancaster,United States,Max Jones,20%,1,4/23/2017,CA-2017-124149,43130.0,Other,Embossed Ink Jet Note Cards,38,6,East,108,Consumer,4/26/2017,First Class,Ohio,Paper
2194,35%,1,Office Supplies,Troy,United States,Seth Vernon,20%,1,11/10/2017,US-2017-136581,45373.0,Xerox,Xerox 227,11,6,East,31,Consumer,11/12/2017,First Class,Ohio,Paper
2195,16%,1,Office Supplies,Philadelphia,United States,Robert Waldorf,20%,1,1/15/2018,CA-2018-167752,19134.0,Honeywell,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,313,8,East,"1,924",Consumer,1/18/2018,First Class,Pennsylvania,Appliances
2196,34%,1,Office Supplies,Philadelphia,United States,Joy Bell-,20%,1,6/10/2017,CA-2017-121993,19140.0,Avery,Avery 487,8,8,East,24,Consumer,6/12/2017,First Class,Pennsylvania,Labels
2197,-80%,1,Office Supplies,Toledo,United States,Sally Knutson,70%,1,12/22/2018,CA-2018-119193,43615.0,Angle-D,Angle-D Ring Binders,-1,1,East,2,Consumer,12/24/2018,First Class,Ohio,Binders
2198,-77%,1,Office Supplies,Philadelphia,United States,William Brown,70%,1,12/10/2018,US-2018-110149,19143.0,Other,Heavy-Duty E-Z-D Binders,-3,1,East,3,Consumer,12/13/2018,First Class,Pennsylvania,Binders
2199,-73%,1,Office Supplies,Cincinnati,United States,Allen Goldenen,70%,1,11/20/2017,CA-2017-109820,45231.0,Acco,Acco 3-Hole Punch,-2,2,East,3,Consumer,11/22/2017,First Class,Ohio,Binders
2200,-70%,1,Office Supplies,Dublin,United States,Fred Harton,70%,1,6/1/2018,CA-2018-106831,43017.0,Cardinal,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",-3,2,East,4,Consumer,6/3/2018,First Class,Ohio,Binders
2201,-83%,1,Office Supplies,Toledo,United States,Joy Daniels,70%,1,9/9/2018,CA-2018-152198,43615.0,Acco,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",-5,2,East,6,Consumer,9/10/2018,First Class,Ohio,Binders
2202,-67%,1,Office Supplies,Philadelphia,United States,Pamela Stobb,70%,1,9/14/2018,CA-2018-156237,19140.0,GBC,GBC Instant Report Kit,-3,2,East,4,Consumer,9/15/2018,First Class,Pennsylvania,Binders
2203,-80%,1,Office Supplies,Philadelphia,United States,Adam Shillingsburg,70%,1,9/16/2018,CA-2018-136448,19143.0,Other,Binder Posts,-3,2,East,3,Consumer,9/18/2018,First Class,Pennsylvania,Binders
2204,-77%,1,Office Supplies,Philadelphia,United States,Adam Shillingsburg,70%,1,9/16/2018,CA-2018-136448,19143.0,GBC,GBC DocuBind TL300 Electric Binding System,-413,2,East,538,Consumer,9/18/2018,First Class,Pennsylvania,Binders
2205,-73%,1,Office Supplies,Cincinnati,United States,Allen Goldenen,70%,1,11/20/2017,CA-2017-109820,45231.0,Avery,Avery Recycled Flexi-View Covers for Binding Systems,-11,3,East,14,Consumer,11/22/2017,First Class,Ohio,Binders
2206,-77%,1,Office Supplies,Lakewood,United States,Christy Brittain,70%,1,11/5/2016,US-2016-136259,44107.0,Other,Insertable Tab Post Binder Dividers,-6,3,East,7,Consumer,11/8/2016,First Class,Ohio,Binders
2207,-73%,1,Office Supplies,Toledo,United States,Joy Daniels,70%,1,9/9/2018,CA-2018-152198,43615.0,3M,3M Organizer Strips,-4,3,East,5,Consumer,9/10/2018,First Class,Ohio,Binders
2208,-80%,1,Office Supplies,Philadelphia,United States,Clytie Kelty,70%,1,7/11/2016,CA-2016-142237,19134.0,Acco,Acco Suede Grain Vinyl Round Ring Binder,-2,3,East,3,Consumer,7/13/2016,First Class,Pennsylvania,Binders
2209,-77%,1,Office Supplies,Philadelphia,United States,Larry Hughes,70%,1,9/21/2015,CA-2015-117478,19140.0,Angle-D,"Angle-D Binders with Locking Rings, Label Holders",-5,3,East,7,Consumer,9/24/2015,First Class,Pennsylvania,Binders
2210,-73%,1,Office Supplies,Philadelphia,United States,Clytie Kelty,70%,1,7/11/2016,CA-2016-142237,19134.0,3M,3M Organizer Strips,-5,4,East,6,Consumer,7/13/2016,First Class,Pennsylvania,Binders
2211,-67%,1,Office Supplies,Philadelphia,United States,Pamela Stobb,70%,1,9/14/2018,CA-2018-156237,19140.0,Other,Aluminum Screw Posts,-12,4,East,18,Consumer,9/15/2018,First Class,Pennsylvania,Binders
2212,-67%,1,Office Supplies,Bethlehem,United States,Olvera Toch,70%,1,7/28/2017,CA-2017-107783,18018.0,GBC,GBC Ibimaster 500 Manual ProClick Binding System,-913,6,East,"1,370",Consumer,7/29/2017,First Class,Pennsylvania,Binders
2213,48%,1,Office Supplies,Lafayette,United States,Bruce Degenhardt,0%,1,5/30/2018,CA-2018-125472,70506.0,Avery,Avery Binder Labels,2,1,South,4,Consumer,5/31/2018,First Class,Louisiana,Binders
2214,50%,1,Office Supplies,Waynesboro,United States,Lauren Leatherbury,0%,1,4/16/2016,CA-2016-137974,22980.0,Cardinal,Cardinal EasyOpen D-Ring Binders,5,1,South,9,Consumer,4/18/2016,First Class,Virginia,Binders
2215,49%,1,Office Supplies,Suffolk,United States,Shaun Weien,0%,1,12/11/2016,CA-2016-150560,23434.0,Other,"Dot Matrix Printer Tape Reel Labels, White, 5000/Box",96,2,South,197,Consumer,12/12/2016,First Class,Virginia,Labels
2216,48%,1,Office Supplies,Little Rock,United States,Clytie Kelty,0%,1,6/6/2017,US-2017-167472,72209.0,Xerox,Xerox 230,6,2,South,13,Consumer,6/7/2017,First Class,Arkansas,Paper
2217,2%,1,Office Supplies,Lafayette,United States,Amy Cox,0%,1,12/19/2018,CA-2018-158729,70506.0,Martin-Yale,Martin Yale Chadless Opener Electric Letter Opener,33,2,South,"1,666",Consumer,12/21/2018,First Class,Louisiana,Supplies
2218,29%,1,Office Supplies,Virginia Beach,United States,Thomas Thornton,0%,1,10/30/2016,CA-2016-132318,23464.0,Tripp Lite,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,53,3,South,183,Consumer,11/2/2016,First Class,Virginia,Appliances
2219,30%,1,Office Supplies,Charlottesville,United States,Adam Shillingsburg,0%,1,12/2/2018,US-2018-108063,22901.0,Newell,Newell 309,10,3,South,35,Consumer,12/5/2018,First Class,Virginia,Art
2220,48%,1,Office Supplies,Little Rock,United States,Clytie Kelty,0%,1,6/6/2017,US-2017-167472,72209.0,Avery,Avery Binder Labels,6,3,South,12,Consumer,6/7/2017,First Class,Arkansas,Binders
2221,48%,1,Office Supplies,Little Rock,United States,Clytie Kelty,0%,1,6/6/2017,US-2017-167472,72209.0,Other,Trimflex Flexible Post Binders,31,3,South,64,Consumer,6/7/2017,First Class,Arkansas,Binders
2222,48%,1,Office Supplies,Woodstock,United States,Lauren Leatherbury,0%,1,8/12/2015,CA-2015-153927,30188.0,Acco,Acco Translucent Poly Ring Binders,7,3,South,14,Consumer,8/13/2015,First Class,Georgia,Binders
2223,47%,1,Office Supplies,Lafayette,United States,Michelle Huthwaite,0%,1,10/13/2018,CA-2018-103212,70506.0,Avery,Avery 52,5,3,South,11,Consumer,10/14/2018,First Class,Louisiana,Labels
2224,47%,1,Office Supplies,Little Rock,United States,Clytie Kelty,0%,1,6/6/2017,US-2017-167472,72209.0,Xerox,Xerox 191,28,3,South,60,Consumer,6/7/2017,First Class,Arkansas,Paper
2225,46%,1,Office Supplies,Louisville,United States,Natalie DeCherney,0%,1,5/5/2017,CA-2017-145247,40214.0,Xerox,Xerox 1909,36,3,South,79,Consumer,5/7/2017,First Class,Kentucky,Paper
2226,25%,1,Office Supplies,Columbus,United States,Anna Gayman,0%,1,9/24/2018,CA-2018-163335,31907.0,Fellowes,Fellowes Desktop Hanging File Manager,10,3,South,40,Consumer,9/27/2018,First Class,Georgia,Storage
2227,28%,1,Office Supplies,Chesapeake,United States,Emily Grady,0%,1,11/2/2016,CA-2016-138625,23320.0,Eureka,"Eureka Hand Vacuum, Bagless",55,4,South,198,Consumer,11/5/2016,First Class,Virginia,Appliances
2228,29%,1,Office Supplies,Richmond,United States,Bradley Drucker,0%,1,12/23/2016,CA-2016-117828,23223.0,Belkin,Belkin Premiere Surge Master II 8-outlet surge protector,56,4,South,194,Consumer,12/26/2016,First Class,Virginia,Appliances
2229,46%,1,Office Supplies,Fayetteville,United States,Joel Eaton,0%,1,9/22/2018,CA-2018-161053,72701.0,Ibico,Ibico EB-19 Dual Function Manual Binding System,318,4,South,692,Consumer,9/23/2018,First Class,Arkansas,Binders
2230,47%,1,Office Supplies,Atlanta,United States,John Stevenson,0%,1,2/12/2017,CA-2017-110492,30318.0,Avery,"Avery Durable Slant Ring Binders, No Labels",7,4,South,16,Consumer,2/14/2017,First Class,Georgia,Binders
2231,48%,1,Office Supplies,Springfield,United States,Roy Französisch,0%,1,8/13/2017,CA-2017-125843,22153.0,Avery,Avery Heavy-Duty EZD  Binder With Locking Rings,11,4,South,22,Consumer,8/16/2017,First Class,Virginia,Binders
2232,45%,1,Office Supplies,Florence,United States,Sheri Gordon,0%,1,3/23/2016,CA-2016-130218,29501.0,Other,Staples,14,4,South,32,Consumer,3/26/2016,First Class,South Carolina,Fasteners
2233,48%,1,Office Supplies,Lafayette,United States,Michelle Huthwaite,0%,1,10/13/2018,CA-2018-103212,70506.0,Xerox,Xerox 231,12,4,South,26,Consumer,10/14/2018,First Class,Louisiana,Paper
2234,2%,1,Office Supplies,Florence,United States,Sheri Gordon,0%,1,3/23/2016,CA-2016-130218,29501.0,Eldon,Eldon Shelf Savers Cubes and Bins,1,4,South,28,Consumer,3/26/2016,First Class,South Carolina,Storage
2235,26%,1,Office Supplies,Louisville,United States,Justin MacKendrick,0%,1,4/30/2015,CA-2015-160094,40214.0,Hunt,Hunt Boston Vacuum Mount KS Pencil Sharpener,45,5,South,175,Consumer,5/2/2015,First Class,Kentucky,Art
2236,29%,1,Office Supplies,Lafayette,United States,James Galang,0%,1,7/24/2017,CA-2017-102498,70506.0,Panasonic,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,21,5,South,73,Consumer,7/25/2017,First Class,Louisiana,Art
2237,26%,1,Office Supplies,Louisville,United States,Justin MacKendrick,0%,1,4/30/2015,CA-2015-160094,40214.0,Other,Economy Rollaway Files,215,5,South,826,Consumer,5/2/2015,First Class,Kentucky,Storage
2238,27%,1,Office Supplies,Virginia Beach,United States,Tamara Dahlen,0%,1,5/19/2015,CA-2015-130155,23464.0,Acme,Acme Design Stainless Steel Bent Scissors,9,5,South,34,Consumer,5/22/2015,First Class,Virginia,Supplies
2239,33%,1,Office Supplies,Arlington,United States,Gary Zandusky,0%,1,5/6/2018,CA-2018-156769,22204.0,Dixon,Dixon Ticonderoga Core-Lock Colored Pencils,18,6,South,55,Consumer,5/9/2018,First Class,Virginia,Art
2240,13%,1,Office Supplies,Atlanta,United States,John Stevenson,0%,1,2/12/2017,CA-2017-110492,30318.0,Tennsco,Tennsco Double-Tier Lockers,176,6,South,"1,350",Consumer,2/14/2017,First Class,Georgia,Storage
2241,46%,1,Office Supplies,Columbus,United States,Anna Gayman,0%,1,9/24/2018,CA-2018-163335,31907.0,Avery,Avery Durable Poly Binders,18,7,South,39,Consumer,9/27/2018,First Class,Georgia,Binders
2242,50%,1,Office Supplies,Springfield,United States,Roy Französisch,0%,1,8/13/2017,CA-2017-125843,22153.0,Other,Alphabetical Labels for Top Tab Filing,52,7,South,104,Consumer,8/16/2017,First Class,Virginia,Labels
2243,30%,1,Office Supplies,Louisville,United States,Alan Hwang,0%,1,10/13/2018,US-2018-148831,40214.0,Other,"Trav-L-File Heavy-Duty Shuttle II, Black",105,8,South,349,Consumer,10/15/2018,First Class,Kentucky,Storage
2244,34%,1,Office Supplies,Jacksonville,United States,Rob Beeghly,20%,1,1/14/2018,CA-2018-138779,28540.0,Tyvek,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",7,1,South,22,Consumer,1/15/2018,First Class,North Carolina,Envelopes
2245,33%,1,Office Supplies,Memphis,United States,Herbert Flentye,20%,1,5/1/2017,CA-2017-164784,38109.0,Avery,Avery 499,1,1,South,4,Consumer,5/4/2017,First Class,Tennessee,Labels
2246,8%,1,Office Supplies,Miami,United States,Pauline Johnson,20%,1,6/20/2018,CA-2018-151218,33180.0,Other,Plastic Stacking Crates & Casters,0,1,South,4,Consumer,6/23/2018,First Class,Florida,Storage
2247,-23%,1,Office Supplies,Memphis,United States,Dorothy Dickinson,20%,1,12/30/2015,CA-2015-166730,38109.0,Tennsco,Tennsco Industrial Shelving,-9,1,South,39,Consumer,1/1/2016,First Class,Tennessee,Storage
2248,11%,1,Office Supplies,Concord,United States,Denise Leinenbach,20%,1,6/23/2015,US-2015-130358,28027.0,Acme,Acme Kleen Earth Office Shears,0,1,South,3,Consumer,6/26/2015,First Class,North Carolina,Supplies
2249,33%,1,Office Supplies,Jacksonville,United States,Liz Thompson,20%,1,11/19/2017,CA-2017-157364,28540.0,Other,Deluxe Chalkboard Eraser Cleaner,6,2,South,18,Consumer,11/21/2017,First Class,North Carolina,Art
2250,33%,1,Office Supplies,Coral Springs,United States,Arthur Gainer,20%,1,5/1/2018,CA-2018-110198,33065.0,Avery,Avery 492,1,2,South,5,Consumer,5/2/2018,First Class,Florida,Labels
2251,10%,1,Office Supplies,Durham,United States,Lena Radford,20%,1,11/30/2016,CA-2016-141327,27707.0,Belkin,Belkin 8 Outlet Surge Protector,10,3,South,98,Consumer,12/3/2016,First Class,North Carolina,Appliances
2252,9%,1,Office Supplies,Goldsboro,United States,Sandra Flanagan,20%,1,12/16/2017,CA-2017-130442,27534.0,Acco,Acco 6 Outlet Guardian Premium Surge Suppressor,3,3,South,35,Consumer,12/19/2017,First Class,North Carolina,Appliances
2253,6%,1,Office Supplies,Burlington,United States,Jennifer Halladay,20%,1,11/20/2018,CA-2018-121818,27217.0,Staples in misc. colors,Staples in misc. colors,2,3,South,29,Consumer,11/21/2018,First Class,North Carolina,Art
2254,34%,1,Office Supplies,Miami,United States,Dan Campbell,20%,1,6/22/2018,US-2018-133781,33178.0,Other,"#10 White Business Envelopes,4 1/8 x 9 1/2",13,3,South,38,Consumer,6/23/2018,First Class,Florida,Envelopes
2255,33%,1,Office Supplies,Delray Beach,United States,Bruce Geld,20%,1,3/23/2015,CA-2015-164749,33445.0,Avery,Avery 476,3,3,South,10,Consumer,3/26/2015,First Class,Florida,Labels
2256,33%,1,Office Supplies,Jacksonville,United States,Sue Ann Reed,20%,1,4/9/2018,CA-2018-122154,32216.0,Avery,Avery 48,5,3,South,15,Consumer,4/11/2018,First Class,Florida,Labels
2257,35%,1,Office Supplies,Jacksonville,United States,Sue Ann Reed,20%,1,4/9/2018,CA-2018-122154,32216.0,Xerox,Xerox 1915,88,3,South,252,Consumer,4/11/2018,First Class,Florida,Paper
2258,35%,1,Office Supplies,Miami,United States,Bobby Elias,20%,1,9/23/2018,CA-2018-121314,33178.0,Xerox,Xerox 1941,88,3,South,252,Consumer,9/26/2018,First Class,Florida,Paper
2259,35%,1,Office Supplies,Nashville,United States,Toby Ritter,20%,1,8/14/2017,CA-2017-119515,37211.0,Xerox,Xerox 200,5,3,South,16,Consumer,8/16/2017,First Class,Tennessee,Paper
2260,11%,1,Office Supplies,Fayetteville,United States,Helen Andreada,20%,1,8/9/2017,US-2017-113649,28314.0,Kensington,Kensington 7 Outlet MasterPiece Power Center,64,4,South,570,Consumer,8/12/2017,First Class,North Carolina,Appliances
2261,33%,1,Office Supplies,Wilmington,United States,Evan Bailliet,20%,1,10/9/2018,CA-2018-162635,28403.0,Other,Avoid Verbal Orders Carbonless Minifold Book,4,4,South,11,Consumer,10/10/2018,First Class,North Carolina,Paper
2262,11%,1,Office Supplies,Hollywood,United States,Christine Sundaresam,20%,1,8/15/2015,CA-2015-109043,33021.0,Fellowes,Fellowes Superior 10 Outlet Split Surge Protector,17,5,South,152,Consumer,8/17/2015,First Class,Florida,Appliances
2263,33%,1,Office Supplies,Hollywood,United States,Christine Sundaresam,20%,1,8/15/2015,CA-2015-109043,33021.0,Xerox,Xerox 1955,30,5,South,91,Consumer,8/17/2015,First Class,Florida,Paper
2264,9%,1,Office Supplies,Jacksonville,United States,Dean Braden,20%,1,3/26/2017,US-2017-162677,28540.0,Tenex,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",6,5,South,68,Consumer,3/27/2017,First Class,North Carolina,Storage
2265,11%,1,Office Supplies,Burlington,United States,Jennifer Halladay,20%,1,11/20/2018,CA-2018-121818,27217.0,Newell,Newell 336,3,7,South,24,Consumer,11/21/2018,First Class,North Carolina,Art
2266,11%,1,Office Supplies,Charlotte,United States,Alex Grayson,20%,1,12/18/2018,CA-2018-108287,28205.0,Newell,Newell 310,1,9,South,13,Consumer,12/20/2018,First Class,North Carolina,Art
2267,9%,1,Office Supplies,Concord,United States,Denise Leinenbach,20%,1,6/23/2015,US-2015-130358,28027.0,Prang,Prang Drawing Pencil Set,2,9,South,20,Consumer,6/26/2015,First Class,North Carolina,Art
2268,31%,1,Office Supplies,Fayetteville,United States,Helen Andreada,20%,1,8/9/2017,US-2017-113649,28314.0,Xerox,Xerox 199,10,9,South,31,Consumer,8/12/2017,First Class,North Carolina,Paper
2269,-77%,1,Office Supplies,Jacksonville,United States,Sue Ann Reed,70%,1,4/9/2018,CA-2018-122154,32216.0,Avery,Avery Arch Ring Binders,-13,1,South,17,Consumer,4/11/2018,First Class,Florida,Binders
2270,-73%,1,Office Supplies,Memphis,United States,Herbert Flentye,70%,1,5/1/2017,CA-2017-164784,38109.0,Newell,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,-2,2,South,3,Consumer,5/4/2017,First Class,Tennessee,Binders
2271,-67%,1,Office Supplies,Pensacola,United States,Pierre Wener,70%,1,7/29/2017,US-2017-131891,32503.0,Avery,"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",-1,3,South,2,Consumer,7/31/2017,First Class,Florida,Binders
2272,-67%,1,Office Supplies,Boca Raton,United States,Vivian Mathis,70%,1,6/14/2017,CA-2017-133872,33433.0,GBC,GBC Twin Loop Wire Binding Elements,-27,4,South,40,Consumer,6/17/2017,First Class,Florida,Binders
2273,-70%,1,Office Supplies,Durham,United States,Lena Radford,70%,1,11/30/2016,CA-2016-141327,27707.0,Avery,Avery Durable Binders,-4,7,South,6,Consumer,12/3/2016,First Class,North Carolina,Binders
2274,26%,1,Office Supplies,San Diego,United States,Adam Shillingsburg,0%,1,12/24/2015,CA-2015-132913,92037.0,Belkin,Belkin 7-Outlet SurgeMaster Home Series,4,1,West,14,Consumer,12/26/2015,First Class,California,Appliances
2275,28%,1,Office Supplies,Edmonds,United States,Phillip Flathmann,0%,1,9/7/2018,US-2018-130687,98026.0,Boston,Boston 1799 Powerhouse Electric Pencil Sharpener,7,1,West,26,Consumer,9/10/2018,First Class,Washington,Art
2276,48%,1,Office Supplies,San Diego,United States,Charles Crestani,0%,1,7/20/2015,CA-2015-141726,92105.0,Xerox,Xerox 189,50,1,West,105,Consumer,7/22/2015,First Class,California,Paper
2277,47%,1,Office Supplies,Seattle,United States,Sandra Glassco,0%,1,12/16/2016,CA-2016-162544,98105.0,Xerox,Xerox 190,2,1,West,5,Consumer,12/19/2016,First Class,Washington,Paper
2278,15%,1,Office Supplies,San Francisco,United States,Rose O'Brian,0%,1,11/10/2017,CA-2017-152940,94110.0,Acco,Acco Perma 2700 Stacking Storage Drawers,4,1,West,30,Consumer,11/13/2017,First Class,California,Storage
2279,24%,1,Office Supplies,Seattle,United States,Chris Cortes,0%,1,11/16/2018,US-2018-107888,98103.0,Fellowes,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,8,1,West,33,Consumer,11/19/2018,First Class,Washington,Storage
